Hallo!
die führung / reiseführung
für
immer
etwas machen
die Sache
fast
manchmal
müssen
zum Beispiel
der Junge, das Mädchen
nie
der Sport
die Umarmung
für
normalerweise
die Freizeit
die Zeit / das Wetter
frei
ausgehen
etwas/jemanden hören/zuhören
die Musik
reisen
etwas benutzen
etwas/jemanden sehen/ansehen/anschauen
der Fernseher
das Konzert
das Radio
die Bar, Kneipe
die Zeitung
die zeitschrift / zeitung
die Ausstellung
(mit) etwas spielen
das Videospiel
ich mache gerne
ich mache überhaupt nicht gerne
überhaupt nicht, nichts
machst du gerne ..?
ich auch (nicht)
Fußball
auch nicht
Und dir? Und du?
sonntags
spielen (Instrument)
die Gitarre
chatten
die Party
der Plan
Deutsch
der Chat
was ist los? was gib's?
ihr mögt
etwas gerne tun
der Rap
total, super
sich anstellen
die Warteschlange
die Eintrittskarte, der Eingang
Das ist ja cool!
Was für ein/eine..
die Überraschung
etwas beantworten/antworten
nervös/aufgeregt sein
müde/erschöpft sein
es ist nämlich so, dass
ich verstehe nichts
etwas/jemanden verstehen
jemanden auf den Arm nehmen
Zeit verbringen
das Wochenende
bei .. vorbeigehen
glücklich sein
jemandem etwas geben
die Stunde/Uhrzeit
etwas schicken
der Link
zufrieden sein
einige Tage
einige / ein paar
die Minute
krank sein
die Kleidung / die Kleider
das Vorstellungsgespräch / das Interview
das Kleidungsstück
vor / bevor
die Clique
spazieren durch / vorbeigehen an
das Hemd
cool / toll
mir gefällt
dieser / diese / dieses 
kurzärmelig
der Ärmel
kurz
die Farbe
gefallen / mögen
teuer
etwas bevorzugen / vorziehen
weiß
blau
helfen / mitanfassen
das Praktikum
eintreten (in) / betreten
mal sehen / schauen wir mal
Wie findest du das? / Was hältst du davon?
scheinen / wirken / aussehen
dieser / diese / dieses (da)
der Gürtel
braun
da / dort
grau
elegant
günstig / billig
bequem / gemütlich
wie viel + Verb?
im Angebot sein
das Angebot
der Schuh
aus Leder
das Leder
praktisch
von guter/schlechter Qualität
ökologisch / umweltfreundlich
der Gürtel
gut passen zu
die Jacke
die Größe (Kleidung)
etwas tragen / anhaben
Wie viel kostet das?
Bitte schön!
das Date / der Termin
die Hochzeit
orange
violett / lila
grün
gelb
schwarz
rot
das T-Shirt
der Pullover, die Pullover
die Jeans
das Kleid
das Projekt
der Kurs / das Schuljahr
der Abenteuerfilm
das Kind / der Junge / das Mädchen
klein (Körpergröße) / niedrig
schlank / dünn
das Haar / die Haare
lang
braun (Haare/Augen) / kastanienbraun
blond
das Auge
die Werbung
dass / der, die, das / welcher, welche, welches
die Erfahrung
die Kampagne / Aktion
rothaarig
glatt (Haare)
schwimmen
groß / hoch
die Brille
lockig / kraus
das Model
etwas beschreiben
die Körpergröße / Statur
hell / klar
das Tattoo / die Tätowierung
das Piercing
die Nase
das äußere Erscheinungsbild
die Mode
der Alltag
der Tag
Wie spät ist es?
Es ist.. (uhr)
Um wie viel Uhr..?
etwas anfangen / beginnen
um.. (Uhr)
etwas beenden / abschließen
etwas öffnen
etwas schließen / zumachen
die Nacht / der Abend
das Festival / Fest
von.. bis..
Januar
Februar
März
April
Mai
Juni
Juli
August
September
Oktober
November
Dezember
Welcher Tag..?
der Morgen / der Vormittag
der Montag
der Dienstag
der Mittwoch
der Donnerstag
der Freitag
der Samstag
der Sonntag
das Wochenende
der Marathon
die Messe / das Volksfest
der.. (Tag) des.. (Monats)
der Geburtstag
der Karneval / Fasching
die Ferien / der Urlaub
öffentlich
sehr gut (Note)
die Note
wie
die Abiturprüfung / Hochschulreife (Spanien)
der Streber / die Streberin
an etwas denken
das Schulfach
Lieblings-
der Lehrer / die Lehrerin
alle / alle zusammen
etwas erklären
Naturwissenschaften
Wahl- / optional
Biologie
Chemie
Medizin
das Geheimnis
Noten bekommen / schreiben
wichtig
aufpassen / aufmerksam sein
etwas setzen / stellen / legen
fragen
jeden Tag / täglich
alle 
der/die/das ganze
ausreichend / genug
das Mal
pro / durch / wegen
die Woche
etwas spielen
der Volleyball
der Rat / Ratschlag
die Hausaufgaben
rechtzeitig / mit Genugzeit
schlafen
ein anderer / eine andere
das Geld
nächster / nächste / nächstes
werden / vorhaben zu (Zukunft)
die Welt
Wie krass! / Wie genial!
wissen / können (Fähigkeit)
Der Hammer!
kommen
es tut mir leid
Wie schade!
Ach was! / Hoppla! / Schau an!
vielleicht
etwas kochen
Sag nicht so was! / Echt jetzt?
noch einmal / wieder
bitte
Wie wäre es, wenn..?
etwas entscheiden
wirklich / tatsächlich
Wie nervig! / Was für eine Überwindung!
Lust haben zu..
der Flughafen
bis
aufstehen
sich hinlegen / schlafen gehen
sich duschen
abends / in der Nacht
der Nachmittag / der Spätnachmittag
der/die Ältere
jemandem helfen
obwohl / auch wenn
früh
anziehen (Kleidung) / werden
die (Schul-)Uniform
während
das Frühstück
nach (zeitlich)
frühstücken
zu Fuß (gehen)
der Bus
verlieren / verpassen
sich beeilen
zu spät kommen
ankommen
spät
wenn / als
regnen
bleiben
etwas aushalten / ertragen
jedoch / trotzdem
sich (über etwas) beschweren
etwas aufräumen / abholen / einsammeln
das Land / das Feld
wenig / kleines bisschen
etwas mitbringen / bringen
vor (zeitlich) / bevor
wenn / falls / ob
Das ist echt cool! / Das ist super!
gehen / spazieren
mieten
das Fahrrad
das Problem
aufpassen / vorsichtig sein
der Rucksack
interessieren
die Kunst
etwas besuchen / besichtigen
der/die/das ...-ste (Superlativ)
das Bild / Gemälde
etwas finden
die Tapa (Häppchen)
die Tour / Führung
lecker sein
berühmt
die Atmosphäre / Stimmung
alternativ
es lohnt sich
das Stadion
das Zimmer
geteilt / gemeinsam genutzt
der Quadratmeter
die U-Bahn / der Meter
der Monat
die Nebenkosten / Ausgaben
inbegriffen sein / enthalten sein
innen
der Aufenthalt
minimal / Mindest-
möbliert sein
die Wohngemeinschaft (WG)
die Wohnung
außenliegend / zur Straße gelegen
der Balkon
teilmöbliert sein
das Bett
der Schrank
telefonieren
ach so / aha
das
etwas kennen / kennenlernen
(zentraler) als
zentral
zum Innenhof gehen (Zimmer)
der Innenhof / Hof
hell / lichtdurchflutet
so
so (groß) wie
die Miete
die Gesamtsumme / insgesamt
die Heizung
ohne
oben / darüber
unten / darunter
vorne / davor
hinten / dahinter
zwischen dem... und dem...
