Schule
Ermordung, Mord
leben
leicht
die meisten, das meiste (n)
beschließen, aufstellen
zukünftig
da sein, anwesend sein
zwar, freilich
dieser, -e, -es (da)
verteidigen
Wunde
der, die, das letzte
zusammenkommen
Frau
Grenze, Ende
Gebiet€
Geschenk
(König)Reich, Herrschaft
vergrößern
es bereitet mir Freude
riesig, gewaltig
vorher
Niederlage
Flotte
bemerken
weichen, weggehen
einschließen
Wächter
setzen, legen, stellen
nämlich, denn
wegtragen, wegnehmen
Sklavin
außer
Zwietracht, Streit
Auseinandersetzung
werfen
Venus
streiten, wetteifern
urteilen, richten
auswählen
Belohnung, Preis
außerdem
reich
Tapferkeit
weil
Griechenland
beschließen
Dorthin
Treue, Vertrauen
anvertrauen
Gelegenheit
verbinden
Gatte, Ehemann
sei es (dass) … sei es (dass)
Derartig
Troja
Zorn
Mauern
hoch; tief
die Trojaner
(sich) fernhalten (von)
Befehl; Herrschaft; Reich
innehaben
anzünden
glauben
beiwohnen
mehrere
töten
ablegen
Pferd
ziehen
mehr
Bitten
Gold
Bruder
Apoll
trojanisch
Odysseus
wenn auch, obwohl
stark
niemals
einschließen
erscheinen
innerhalb
begünstigen
Burg
Sieg
Wein
feiern
alle (zusammen)
inzwischen
 zurückkehren
öffnen
Flamme
vernichten; verbrauchen
wollen
nicht wollen
wahr, echt
versprechen
(er)hoffen
(an)bieten
Wissen
Nutzen;Gebrauch
nützlich sein
Wahrheit
glauben
von da an;von dort
ignorieren; vernachlässigen
brennen
schweigen
sterben; untergehen
sich irren
aufheben
(um etwas) bitten; beten
Dichter
kommen, gelangen
hineingehen, betreten
Ausgang
süß
zufällig
fordern
Dank
danken
endlich, schließlich
voll (mit)
Feuer
nehmen
Stirn
verletzen
aber
es steht fest (,dass)
folgend
sorgfältig, genau
nützen
Brand, Feuer
der Erste, Prinzeps, Kaiser
schwer, schwerwiegend
entstehen
Autor; Urheber, Anstifter
verwüsten
Zahl, Anzahl
privat
öffentlich
Gerücht; Ruf
Größe
schmücken
später; danach
nennen; rufen
gierig (nach)
gründen
bis zu 
aufBefehl
die Christen
Verbrechen
anklagen
gleichsam (als), wie
heilig
Verehrung
zögern, zweifeln
(heftig) bewegen, veranlassen
Flucht
der nächste
plötzlich
entgegen
scheinen
Herr
wohin
gehen
er/sie soll angeblich
Träne
berichten
so
Heil, Rettung, Gruß
Welt
würdig
trennen, teilen
Volk
hinüberführen
bis jetzt, bisher
glücklich, erfolgreich
Glück, Schicksal
Reiter
Feld
Sommer
fehlen
erschöpft
kaum
irgendein(e)
Hoffnung
bitten, fragen
göttlich
siehe!
Wunder 
geschehen
Sieger
bürgerlich
fürchten
Orakel
außerhalb (von)
jeder, jede, jedes von beiden
bekannt
Zeichen
schreiben
nahe bei
Brücke
niedriges Volk
Fall
deshalb
befragen
melden
heute
hinführen, veranlassen
Eifer, Begeisterung
drücken, bedrängen
schlagen, stoßen
Wohltat
Winter
arm
Gewand
ertragen,erdulden
Mitleid
nackt
übrig
ähnlich
militärisch, Militär-
der andere
der eine - der andere
Vernunft, Geist
vernünftig
klagen
menschlich
besitzen
folgen
bedecken
sprechen
fürchten
was auch immer, alles was
auffordern, ermuntern
dienen
genießen
aufbrechen
Wald
Quelle
versuchen
jemals
wagen
wachsen
Ohr
verändern, verwandeln
Mund, Gesicht
Fuß
wegen
zurückkehren
glauben
sich freuen über
sicher
sein werden
gebrauchen,benützen
Pflicht, Dienst
verrichten, erfüllen
gewohnt sein, pflegen
Zahn
Gestalt, Schönheit
sei gegrüßt!
sehr
so (beschaffen), solch
wie (beschaffen), welch
fühlen
entreißen
versprechen
schändlich
Tat
Monat
Arbeit, Mühe
also, folglich, daher
weggehen
geboren werden
Hass
Mutter
nicht wissen
erlauben
unwillig, gegen den Willen
gegen euren Willen
täglich
nachts
Licht
Führer, Feldherr
Lauf, Kurs, Bahn
richtig, gerade
manchmal
abwesend sein
Seemann
Brief
wie groß
(irgend)ein
(irgend)jemand/etwas
Hafen
wenn doch
äußerster; letzter
Vernunft
entweder - oder
sterben
Ankunft
Gegend
bewohnen
Begleiter
kennen lernen; Pf: kennen
Rückkehr
Wille, Wunsch
welcher (-e, -es) auch immer
wünschen
verweigern, verneinen
Übel, Unheil
erproben, versuchen
(gemacht) werden, geschehen
Sitz, Wohnsitz
königlich
Hilfe
Reichtum, Schätze
hinzufügen
glücklich
Brot
Speise, Nahrung
oder
hassen
weise, klug
schätzen, meinen
Neid
bewirken
besuchen
verbieten
anschauen, betrachten
beenden
aufgehen, entstehen
Laster, Fehler
nicht
Gesicht, Miene
bewundern; sich wundern
überall
feindlich (gesinnt)
(er)tragen
unsterblich
Gespräch, Rede
irgendjemand,-etwas
mächtig
daher, also
weil (ja)
als, nachdem; weil; obwohl
Silber
dass, damit, sodss
zeigen
über, oberhalb
genug
einst
verurteilen
zum Tode verurteilen
Geisel
dass nicht, damit nicht
erlauben
möglichst
möglichst schnell
hinübergehen, überqueren
ihn, sie
abwesend
in Abwesenheit des Vaters
Greis
gerecht
zeigen
ich bin überzeugt
wegen
Zweifel
regieren, lenken, leiten
ob
Sorgfalt
dass
ich fürchte, dass …
vertrauen
Gesandtschaft
einzelne, je ein
sicher; bestimmt
nicht wissen, nicht kennen
Gesandter
angreifen
sich erinnern an
ich erinnere mich (Präsens!)
halten für
ich halte dich für einen Freund
erörtern, diskutieren
ausforschen, erforschen
Philosoph
Mühe
sich bemühen
dass (damit) niemand/nichts
so groß
Geld
frei
Erzählung, Geschichte
wegen; um zu
(be)grüßen
wenn jemand/wenn etwas
Geist; Talent
Anfang
jeder, jedes
zusammentragen; vergleichen
sich begeben
Stolz
Erinnerung
zur Erinnerung (an)
Denkmal
Vorfahren
Pflichtgefühl, Frömmigkeit
Religion
woher
heranbringen
viel, um viel(es)
Weniger
Vergnügen, Lust
laufen
Meinung; Satz
Richter
leer; frei
deutsch; germanisch
falsch
Deutschland; Germanien
gelegen
neulich, vor kurzem
Beamter
inzwischen
keineswegs
Vorteil
ruhig
